datetime_beginning_utc,datetime_beginning_ept,fuel_type,total_sum_co2,total_sum_so2,total_sum_nox,percent_co2,percent_so2,percent_nox,full_interval
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Gas,36005389.360333,285.310954,7434.760803,56.066341,1.196279,32.846311,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Multiple Fuels,3516702.240500,157.357415,1951.639017,5.476086,0.659783,8.622220,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Oil,602148.721917,622.752846,308.584331,0.937645,2.611137,1.363306,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Other Renewables,858850.155417,1098.850975,1387.665462,1.337372,4.607366,6.130620,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Coal,22620001.908333,21009.171732,11102.182477,36.320551,90.743691,50.241616,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Gas,34975339.259250,279.673554,7500.110988,56.159306,1.207978,33.940867,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Multiple Fuels,3284670.443833,145.314317,1829.477050,5.274139,0.627648,8.279082,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Oil,536014.223667,621.166167,286.256450,0.860669,2.682967,1.295420,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
